"east","north","evi.mean","evi.sd","annual.evi.sd","inter.evi.sd","nat.fres","Urban","Industrial","Quarry","ArtificialVeg","Arable","PermanentCrops","Pasture","HeteroAg","Forest","Scrub","OpenGround","InlandWet","MaritimeWet","InlandWater","Marine"
125000,295000,0.519175834,0.095930586,0.10753553,0.015338557,274.1,0.0039,0,0,0,0.0025,0,0.7416,0.0703,0.0364,0.0317,0,0.104,0,0.0095,0
125000,305000,0.421252157,0.164389417,0.107214232,0.014916668,319.3,0.0117,0,0.0053,0,0,0,0.2937,0.1601,0.0514,0.0481,0,0.2597,0,0.1698,0
125000,315000,0.52287878,0.107357202,0.099251446,0.015396502,286.2,0.0515,0,0,0.0043,0,0,0.718,0.0532,0.0231,0.008,0,0.1291,0,0.0118,0.001
125000,325000,0.549019149,0.132442291,0.092979198,0.015234264,295.8,0.022,0.0051,0,0.0049,0,0,0.7596,0.0085,0.0069,0,0.0092,0.043,0.006,0,0.0011
125000,35000,0.557106414,0.128850179,0.072916399,0.01375617,303.8,0.0057,0,0,0,0,0,0.5519,0.0622,0.0069,0.0025,0,0,0.0038,0,0.0076
125000,45000,0.569792195,0.094532793,0.074377288,0.017652137,238.1,0,0,0,0,0,0,0.8341,0.0477,0.0423,0.0458,0,0.0272,0,0.0024,0
125000,55000,0.538381492,0.094415499,0.085505772,0.017692668,274.8,0.0125,0,0.0027,0,0.0166,0,0.6828,0.1478,0.0485,0.0735,0,0.0158,0,0,0
125000,65000,0.491477996,0.102276285,0.096873389,0.015631397,286.3,0,0,0,0,0,0,0.4836,0.1792,0.1341,0.0639,0,0.1363,0,0.0027,0
125000,75000,0.536836326,0.096911362,0.084947224,0.016325935,298.3,0.0086,0,0,0,0,0,0.5147,0.3226,0.0431,0.0537,0,0.0572,0,0,0
125000,85000,0.480885714,0.12213146,0.100511032,0.014753029,279.2,0.002,0,0,0,0,0,0.4317,0.0713,0.136,0.1473,0.0198,0.1923,0,0,0
125000,95000,0.565729821,0.087597376,0.089099685,0.020351938,250.8,0.0077,0,0,0.003,8e-04,0,0.8435,0.0755,0.0168,0.0392,0,0.0133,0,0,0
135000,105000,0.576117542,0.094521008,0.088034127,0.022438207,256,0.0183,0,0,0.0039,0.0111,0,0.9095,0.0267,0.0223,0.0083,0,0,0,0,0
135000,115000,0.580595461,0.089425566,0.080260002,0.020020865,272.9,0,0,0,0,0,0,0.802,0.0964,0.0649,0.0323,0,0.0043,0,0,0
135000,125000,0.608766834,0.085495382,0.085673437,0.022487052,256.3,0.0123,0,0,0,0,0,0.9384,0.0468,0,9e-04,0,0.0022,0,0,0
135000,135000,0.607226764,0.084735699,0.091067671,0.020916141,252.4,0.004,0,0,0,0,0,0.9576,0.0255,0.0074,0.0053,0,0,0,0,0
135000,145000,0.590296761,0.087837195,0.094792293,0.020115535,251.3,0.0189,0,7e-04,0.0081,0.0026,0,0.8822,0.0528,0.0102,2e-04,0,0.0243,0,0,0
135000,155000,0.559479829,0.155496201,0.096234726,0.020153538,306.4,0.0069,0.0034,0,0,0,0,0.5085,0.0219,4e-04,0.0032,0,0,0.0218,0,0.0034
135000,175000,0.524696743,0.114905552,0.101296501,0.018750232,305.2,0.1091,0.0318,0.0034,0.0243,0,0,0.6209,0.0673,0.0354,0.032,0,0.0363,0.0186,0,0.0061
135000,185000,0.52178754,0.099956317,0.112550119,0.017422425,305.8,0,0.013,0.0028,0,0,0,0.5954,0.1529,0.1591,0.0268,0.0185,0.0121,0,0.0194,0
135000,195000,0.434430775,0.124396242,0.116274542,0.015027206,342.8,0,0,0,0,0,0,0.3423,0.085,0.0277,0.0049,0.4908,0.0217,0,0.0278,0
135000,205000,0.464344089,0.111866825,0.111069191,0.012752068,342.2,0,0,0,0,0,0,0.3531,0.0866,0.0062,0.1016,0.4448,0.0047,0,0.0031,0
135000,225000,0.487824672,0.140716618,0.104412918,0.018389621,315.2,0.1004,0.0489,0.0089,0.0096,0,0,0.4923,0.0197,0.0071,0.0095,0.0086,0.0135,0.0034,0,0.0052
